Report sulle campagne
1 luglio 2026 - 24 luglio 2026
Azione di conversione,Stato della campagna,Campagna,Budget,Nome budget,Tipo di budget,Codice valuta,Stato,Motivi dello stato,Costo,Valore conv.,Valore conv./costo,Quota impr. rete di ricerca,Impressioni,CTR,Punteggio di ottimizzazione,Tipo di strategia di offerta,Clic,Tasso conv.,Conversioni,CPC medio,Costo/conv.,QI persa rete di ricerca (ranking),QI persa rete di ricerca (budget),Durata media del coinvolgimento per sessione (in secondi) (GA4),QI superiore sulla rete di ricerca
Niino Sign-up,Attivata,SEARCH | AMBULANZA | PURCHASE| ROMA,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"72,56",CPA target,0, --,"0,00",0,0, --, --,0, --
Purchase,Attivata,SEARCH | AMBULANZA | PURCHASE | MILANO,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | PURCHASE | MILANO,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | AMBULANZA | PURCHASE | MILANO,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | AMBULANZA | PURCHASE | MILANO,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"177,41",0, --,0, --,"61,64",CPA target,0, --,"9,30",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | AMBULANZA | PURCHASE | MILANO,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | AMBULANZA | PURCHASE | MILANO,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | ANZIANI | MILANO | PURCHASE,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"52,31",CPA target,0, --,"0,00",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | ANZIANI | MILANO | PURCHASE,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"52,31",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | ANZIANI | MILANO | PURCHASE,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"86,14",0, --,0, --,"52,31",CPA target,0, --,"3,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | ANZIANI | MILANO | PURCHASE,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"52,31",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | ANZIANI | MILANO | PURCHASE,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; volume di ricerca limitato,0,"0,00",0, --,0, --,"52,31",CPA target,0, --,"0,00",0,0, --, --,0, --
 --,Totale: Campagne filtrate, --, --, --, --,EUR, --,,0,"5.674,07",0, --,0, --, --, --,0, --,"36,47",0,0, --, --,0, --
 --,Totale: Campagne filtrate, --, --, --, --,EUR, --,,0,0,0, --,0, --, --, --,0, --,0,0,0, --, --,0, --
 --,Totale: Campagne filtrate, --, --, --, --, --, --,,0,0,0, --,0, --, --, --,0, --,0,0,0, --, --,0, --
Niino Revenue,Totale: Campagne filtrate, --, --, --, --, --, --,,0,0,0, --,0, --, --, --,0, --,0,0,0, --, --,0, --
Niino revenue via Call,Totale: Campagne filtrate, --, --, --, --, --, --,,0,0,0, --,0, --, --, --,0, --,0,0,0, --, --,0, --
 --,Totale: Campagne filtrate, --, --, --, --, --, --,,0,0,0, --,0, --, --, --,0, --,0,0,0, --, --,0, --
Niino Revenue,Totale: Campagne filtrate, --, --, --, --,EUR, --,,0,"5.646,82",0, --,0, --, --, --,0, --,"35,47",0,0, --, --,0, --
Niino revenue via Call,Totale: Campagne filtrate, --, --, --, --,EUR, --,,0,"27,25",0, --,0, --, --, --,0, --,"1,00",0,0, --, --,0, --
,Totale: Account,,,,,EUR,,,"9969,35","6.134,88","0,62","51,18%",1.173.428,"2,32%",,,27.220,"0,21%","497,29","0,37","20,05","43,20%","5,63%","42,89","42,53%"
Booking GMV,Totale: Account,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Totale: Account,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Calls from ads,Totale: Account,,,,,,,,0,"201,18",0, --,0, --,,,0, --,"201,18",0,0, --, --,0, --
Niino revenue via Call,Totale: Account,,,,,,,,0,"27,25",0, --,0, --,,,0, --,"1,00",0,0, --, --,0, --
Niino Revenue,Totale: Account,,,,,,,,0,"5.646,82",0, --,0, --,,,0, --,"35,47",0,0, --, --,0, --
Click-to-call,Totale: Account,,,,,,,,0,"259,63",0, --,0, --,,,0, --,"259,63",0,0, --, --,0, --
Conversazione avviata,Totale: Account,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Purchase,Totale: Account,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
,Totale: Ricerca,,,,,EUR,,,"7472,89","778,68","0,10","62,41%",35.893,"7,83%",,,2.811,"16,90%","475,11","2,66","15,73","36,70%","0,89%","70,44","42,53%"
,Totale: Performance Max,,,,,EUR,,,"2496,46","5.356,20","2,15","21,37%",1.137.535,"2,15%",,,24.409,"0,01%","22,18","0,10","112,56","60,43%","18,20%","26,82", --
Niino Sign-up,Totale: Ricerca,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Booking GMV,Totale: Performance Max,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Niino revenue via Call,Totale: Performance Max,,,,,,,,0,"27,25",0, --,0, --,,,0, --,"1,00",0,0, --, --,0, --
Niino Revenue,Totale: Ricerca,,,,,,,,0,"317,86",0, --,0, --,,,0, --,"14,30",0,0, --, --,0, --
Calls from ads,Totale: Performance Max,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Totale: Performance Max,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Purchase,Totale: Performance Max,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Totale: Performance Max,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Calls from ads,Totale: Ricerca,,,,,,,,0,"201,18",0, --,0, --,,,0, --,"201,18",0,0, --, --,0, --
Purchase,Totale: Ricerca,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Totale: Performance Max,,,,,,,,0,"5.328,95",0, --,0, --,,,0, --,"21,18",0,0, --, --,0, --
Click-to-call,Totale: Ricerca,,,,,,,,0,"259,63",0, --,0, --,,,0, --,"259,63",0,0, --, --,0, --
Booking GMV,Totale: Ricerca,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Conversazione avviata,Totale: Performance Max,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
