Report sulle campagne
1 luglio 2026 - 9 agosto 2026
Azione di conversione,Stato della campagna,Campagna,Budget,Nome budget,Tipo di budget,Codice valuta,Stato,Motivi dello stato,Costo,Valore conv.,Valore conv./costo,Quota impr. rete di ricerca,Impressioni,CTR,Punteggio di ottimizzazione,Tipo di strategia di offerta,Clic,Tasso conv.,Conversioni,CPC medio,Costo/conv.,QI persa rete di ricerca (ranking),QI persa rete di ricerca (budget),Durata media del coinvolgimento per sessione (in secondi) (GA4),QI superiore sulla rete di ricerca
Niino Revenue,Attivata,SEARCH | AMBULANZA | CHIAMATA | PUGLIA,"200,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"58,56",CPA target,0, --,"0,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | AMBULANZA | CHIAMATA | PUGLIA,"200,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"58,56",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | AMBULANZA | CHIAMATA | PUGLIA,"200,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"58,56",CPA target,0, --,"0,00",0,0, --, --,0, --
Purchase,Attivata,SEARCH | AMBULANZA | PURCHASE| ROMA,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"64,54",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | PURCHASE| ROMA,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"64,54",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | AMBULANZA | PURCHASE| ROMA,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"54,31",0, --,0, --,"64,54",CPA target,0, --,"2,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | AMBULANZA | PURCHASE| ROMA,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"64,54",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | AMBULANZA | PURCHASE| ROMA,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"64,54",CPA target,0, --,"0,00",0,0, --, --,0, --
Purchase,Attivata,SEARCH | MILANO | DIMISSIONI | CHIAMATA,"280,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"57,09",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | MILANO | DIMISSIONI | CHIAMATA,"280,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"71,83",0, --,0, --,"57,09",CPA target,0, --,"71,83",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | MILANO | DIMISSIONI | CHIAMATA,"280,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"30,00",0, --,0, --,"57,09",CPA target,0, --,"30,00",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | MILANO | DIMISSIONI | CHIAMATA,"280,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"57,09",CPA target,0, --,"0,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | MILANO | DIMISSIONI | CHIAMATA,"280,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"57,09",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | MILANO | DIMISSIONI | CHIAMATA,"280,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"57,09",CPA target,0, --,"0,00",0,0, --, --,0, --
Purchase,Attivata,SEARCH | AMBULANZA | PURCHASE | MILANO,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"64,54",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | PURCHASE | MILANO,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"64,54",CPA target,0, --,"0,00",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | AMBULANZA | PURCHASE | MILANO,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"64,54",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | AMBULANZA | PURCHASE | MILANO,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"177,41",0, --,0, --,"64,54",CPA target,0, --,"9,30",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | AMBULANZA | PURCHASE | MILANO,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"64,54",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | AMBULANZA | PURCHASE | MILANO,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"64,54",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | CHIAMATA | BARI,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"27,67",0, --,0, --,"61,64",CPA target,0, --,"27,67",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | AMBULANZA | CHIAMATA | BARI,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"2,50",0, --,0, --,"61,64",CPA target,0, --,"2,50",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | AMBULANZA | CHIAMATA | BARI,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | AMBULANZA | CHIAMATA | BARI,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | AMBULANZA | CHIAMATA | BARI,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | CHIAMATA | BOLOGNA,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"44,99",0, --,0, --,"61,64",CPA target,0, --,"44,99",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | AMBULANZA | CHIAMATA | BOLOGNA,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"20,00",0, --,0, --,"61,64",CPA target,0, --,"20,00",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | AMBULANZA | CHIAMATA | BOLOGNA,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | AMBULANZA | CHIAMATA | BOLOGNA,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | AMBULANZA | CHIAMATA | BOLOGNA,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | CHIAMATA | ROMA,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"89,46",0, --,0, --,"57,77",CPA target,0, --,"89,46",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | AMBULANZA | CHIAMATA | ROMA,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"19,99",0, --,0, --,"57,77",CPA target,0, --,"19,99",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | AMBULANZA | CHIAMATA | ROMA,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"57,77",CPA target,0, --,"0,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | AMBULANZA | CHIAMATA | ROMA,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"57,77",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | AMBULANZA | CHIAMATA | ROMA,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"57,77",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | CHIAMATA | MILANO,"270,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"71,91",0, --,0, --,"58,56",CPA target,0, --,"71,91",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | AMBULANZA | CHIAMATA | MILANO,"270,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"77,49",0, --,0, --,"58,56",CPA target,0, --,"77,49",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | AMBULANZA | CHIAMATA | MILANO,"270,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"58,56",CPA target,0, --,"0,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | AMBULANZA | CHIAMATA | MILANO,"270,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"58,56",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | AMBULANZA | CHIAMATA | MILANO,"270,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"0,00",0, --,0, --,"58,56",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | ANZIANI | MILANO | PURCHASE,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"60,39",CPA target,0, --,"0,00",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | ANZIANI | MILANO | PURCHASE,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"60,39",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | ANZIANI | MILANO | PURCHASE,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"86,14",0, --,0, --,"60,39",CPA target,0, --,"3,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | ANZIANI | MILANO | PURCHASE,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"60,39",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | ANZIANI | MILANO | PURCHASE,"150,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"60,39",CPA target,0, --,"0,00",0,0, --, --,0, --
 --,Totale: Campagne filtrate, --, --, --, --,EUR, --,,0,"1.148,01",0, --,0, --, --, --,0, --,"844,42",0,0, --, --,0, --
 --,Totale: Campagne filtrate, --, --, --, --,EUR, --,,0,0,0, --,0, --, --, --,0, --,0,0,0, --, --,0, --
 --,Totale: Campagne filtrate, --, --, --, --, --, --,,0,0,0, --,0, --, --, --,0, --,0,0,0, --, --,0, --
Calls from ads,Totale: Campagne filtrate, --, --, --, --, --, --,,0,0,0, --,0, --, --, --,0, --,0,0,0, --, --,0, --
Click-to-call,Totale: Campagne filtrate, --, --, --, --, --, --,,0,0,0, --,0, --, --, --,0, --,0,0,0, --, --,0, --
Niino Revenue,Totale: Campagne filtrate, --, --, --, --, --, --,,0,0,0, --,0, --, --, --,0, --,0,0,0, --, --,0, --
 --,Totale: Campagne filtrate, --, --, --, --, --, --,,0,0,0, --,0, --, --, --,0, --,0,0,0, --, --,0, --
Calls from ads,Totale: Campagne filtrate, --, --, --, --,EUR, --,,0,"316,96",0, --,0, --, --, --,0, --,"316,96",0,0, --, --,0, --
Click-to-call,Totale: Campagne filtrate, --, --, --, --,EUR, --,,0,"513,19",0, --,0, --, --, --,0, --,"513,16",0,0, --, --,0, --
Niino Revenue,Totale: Campagne filtrate, --, --, --, --,EUR, --,,0,"317,86",0, --,0, --, --, --,0, --,"14,30",0,0, --, --,0, --
,Totale: Account,,,,,EUR,,,"19042,46","7.329,69","0,38","43,34%",3.069.831,"2,29%",,,70.402,"0,16%","916,29","0,27","20,78","52,04%","4,62%","36,49","43,52%"
Niino Revenue,Totale: Account,,,,,,,,0,"6.363,40",0, --,0, --,,,0, --,"53,47",0,0, --, --,0, --
Calls from ads,Totale: Account,,,,,,,,0,"326,51",0, --,0, --,,,0, --,"326,51",0,0, --, --,0, --
Niino revenue via Call,Totale: Account,,,,,,,,0,"106,45",0, --,0, --,,,0, --,"3,00",0,0, --, --,0, --
Niino Sign-up,Totale: Account,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Conversazione avviata,Totale: Account,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Purchase,Totale: Account,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Totale: Account,,,,,,,,0,"533,33",0, --,0, --,,,0, --,"533,30",0,0, --, --,0, --
Booking GMV,Totale: Account,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
,Totale: Ricerca,,,,,EUR,,,"11951,31","1.177,70","0,10","63,15%",61.092,"8,15%",,,4.982,"17,55%","874,11","2,40","13,67","36,31%","0,54%","67,55","43,52%"
,Totale: Performance Max,,,,,EUR,,,"7091,15","6.151,98","0,87","24,06%",3.008.739,"2,17%",,,65.420,"0,01%","42,18","0,11","168,12","67,35%","8,59%","28,12", --
Click-to-call,Totale: Performance Max,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Calls from ads,Totale: Ricerca,,,,,,,,0,"326,51",0, --,0, --,,,0, --,"326,51",0,0, --, --,0, --
Niino revenue via Call,Totale: Performance Max,,,,,,,,0,"106,45",0, --,0, --,,,0, --,"3,00",0,0, --, --,0, --
Niino Sign-up,Totale: Ricerca,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Booking GMV,Totale: Performance Max,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Totale: Ricerca,,,,,,,,0,"533,33",0, --,0, --,,,0, --,"533,30",0,0, --, --,0, --
Booking GMV,Totale: Ricerca,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Conversazione avviata,Totale: Performance Max,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Purchase,Totale: Ricerca,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Totale: Performance Max,,,,,,,,0,"6.045,53",0, --,0, --,,,0, --,"39,18",0,0, --, --,0, --
Niino Revenue,Totale: Ricerca,,,,,,,,0,"317,86",0, --,0, --,,,0, --,"14,30",0,0, --, --,0, --
Calls from ads,Totale: Performance Max,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Purchase,Totale: Performance Max,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Totale: Performance Max,,,,,,,,0,"0,00",0, --,0, --,,,0, --,"0,00",0,0, --, --,0, --
